HPY LHY LHR LHP LKP LAR LAP RHY RHR RHP RKP RAR RAP LSP LSR LSY LEP LWY LWP RSP RSR RSY REP RWY RWP 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.044463 0.000000 0.000000 -0.093764 0.000000 0.049300 0.044463 0.000000 0.000000 -0.093764 0.000000 0.049300 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.058936 0.000000 0.000000 -0.124284 0.000000 0.065347 0.058936 0.000000 0.000000 -0.124284 0.000000 0.065347 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.076168 0.000000 0.000000 -0.160622 0.000000 0.084454 0.076168 0.000000 0.000000 -0.160622 0.000000 0.084454 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.096363 0.000000 0.000000 -0.203210 0.000000 0.106846 0.096363 0.000000 0.000000 -0.203210 0.000000 0.106846 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.119714 0.000000 0.000000 -0.252453 0.000000 0.132737 0.119714 0.000000 0.000000 -0.252453 0.000000 0.132737 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.146401 0.000000 0.000000 -0.308731 0.000000 0.162328 0.146401 0.000000 0.000000 -0.308731 0.000000 0.162328 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.176590 0.000000 0.000000 -0.372394 0.000000 0.195801 0.176590 0.000000 0.000000 -0.372394 0.000000 0.195801 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.210435 0.000000 0.000000 -0.443766 0.000000 0.233328 0.210435 0.000000 0.000000 -0.443766 0.000000 0.233328 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.248073 0.000000 0.000000 -0.523137 0.000000 0.275060 0.248073 0.000000 0.000000 -0.523137 0.000000 0.275060 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.289629 0.000000 0.000000 -0.610770 0.000000 0.321137 0.289629 0.000000 0.000000 -0.610770 0.000000 0.321137 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.335209 0.000000 0.000000 -0.706890 0.000000 0.371676 0.335209 0.000000 0.000000 -0.706890 0.000000 0.371676 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.384907 0.000000 0.000000 -0.811693 0.000000 0.426780 0.384907 0.000000 0.000000 -0.811693 0.000000 0.426780 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.438799 0.000000 0.000000 -0.925339 0.000000 0.486534 0.438799 0.000000 0.000000 -0.925339 0.000000 0.486534 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.496942 0.000000 0.000000 -1.047952 0.000000 0.551003 0.496942 0.000000 0.000000 -1.047952 0.000000 0.551003 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.559381 0.000000 0.000000 -1.179623 0.000000 0.620234 0.559381 0.000000 0.000000 -1.179623 0.000000 0.620234 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.626140 0.000000 0.000000 -1.320406 0.000000 0.694256 0.626140 0.000000 0.000000 -1.320406 0.000000 0.694256 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.697229 0.000000 0.000000 -1.470317 0.000000 0.773078 0.697229 0.000000 0.000000 -1.470317 0.000000 0.773078 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.772638 0.000000 0.000000 -1.629340 0.000000 0.856691 0.772638 0.000000 0.000000 -1.629340 0.000000 0.856691 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.852343 0.000000 0.000000 -1.797421 0.000000 0.945066 0.852343 0.000000 0.000000 -1.797421 0.000000 0.945066 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.936299 0.000000 0.000000 -1.974469 0.000000 1.038156 0.936299 0.000000 0.000000 -1.974469 0.000000 1.038156 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.024449 0.000000 0.000000 -2.160360 0.000000 1.135896 1.024449 0.000000 0.000000 -2.160360 0.000000 1.135896 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.116717 0.000000 0.000000 -2.354934 0.000000 1.238201 1.116717 0.000000 0.000000 -2.354934 0.000000 1.238201 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.213009 0.000000 0.000000 -2.557995 0.000000 1.344968 1.213009 0.000000 0.000000 -2.557995 0.000000 1.344968 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.313219 0.000000 0.000000 -2.769318 0.000000 1.456080 1.313219 0.000000 0.000000 -2.769318 0.000000 1.456080 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.417222 0.000000 0.000000 -2.988640 0.000000 1.571397 1.417222 0.000000 0.000000 -2.988640 0.000000 1.571397 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.524881 0.000000 0.000000 -3.215671 0.000000 1.690768 1.524881 0.000000 0.000000 -3.215671 0.000000 1.690768 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.636042 0.000000 0.000000 -3.450087 0.000000 1.814021 1.636042 0.000000 0.000000 -3.450087 0.000000 1.814021 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.750539 0.000000 0.000000 -3.691538 0.000000 1.940974 1.750539 0.000000 0.000000 -3.691538 0.000000 1.940974 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.868192 0.000000 0.000000 -3.939644 0.000000 2.071426 1.868192 0.000000 0.000000 -3.939644 0.000000 2.071426 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.988808 0.000000 0.000000 -4.194000 0.000000 2.205163 1.988808 0.000000 0.000000 -4.194000 0.000000 2.205163 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.112183 0.000000 0.000000 -4.454174 0.000000 2.341960 2.112183 0.000000 0.000000 -4.454174 0.000000 2.341960 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.238104 0.000000 0.000000 -4.719715 0.000000 2.481579 2.238104 0.000000 0.000000 -4.719715 0.000000 2.481579 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.366344 0.000000 0.000000 -4.990148 0.000000 2.623770 2.366344 0.000000 0.000000 -4.990148 0.000000 2.623770 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.496669 0.000000 0.000000 -5.264979 0.000000 2.768273 2.496669 0.000000 0.000000 -5.264979 0.000000 2.768273 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.628838 0.000000 0.000000 -5.543697 0.000000 2.914820 2.628838 0.000000 0.000000 -5.543697 0.000000 2.914820 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.762601 0.000000 0.000000 -5.825775 0.000000 3.063135 2.762601 0.000000 0.000000 -5.825775 0.000000 3.063135 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.897701 0.000000 0.000000 -6.110675 0.000000 3.212932 2.897701 0.000000 0.000000 -6.110675 0.000000 3.212932 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.033878 0.000000 0.000000 -6.397846 0.000000 3.363923 3.033878 0.000000 0.000000 -6.397846 0.000000 3.363923 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.170867 0.000000 0.000000 -6.686726 0.000000 3.515814 3.170867 0.000000 0.000000 -6.686726 0.000000 3.515814 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.308397 0.000000 0.000000 -6.976752 0.000000 3.668306 3.308397 0.000000 0.000000 -6.976752 0.000000 3.668306 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.446200 0.000000 0.000000 -7.267350 0.000000 3.821100 3.446200 0.000000 0.000000 -7.267350 0.000000 3.821100 
